28.49196642190459||-81.50452231100718||Chain of Lakes Middle School||school____________________________________public___,
32.98966133707199||-110.78273559136399||Hayden Golf Club||_______________golf_course________________________,
42.66348655574661||-73.58236866997568||Algonquin Middle School||school______yes_________________________________,
44.449720757093196||-73.20698906980621||Shaw's||______________________________supermarket_________,
40.868883206203726||-74.19507986880399||Yogi Berra Stadium||_______________stadium__________________baseball______,
40.82549948717526||-73.92843173844946||153rd Street Garage||parking______yes_________________________________,
29.652085763146175||-98.61933151027671||Dominion Country Club||_______________golf_course________________________,
37.743617621978125||-121.1014566131356||Spring Creek Golf & Country Club,||_______________golf_course________________________
19.684820834711385||-155.92646559829888||HonuaæÈula Forest Reserve||_______________nature_reserve________________________,
36.1440564519618||-115.34350265701828||Arroyo Golf Club at Red Rock||_______________golf_course________________________,
